,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,State,ZipCode,Neighborhood,Latitude,Longitude,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,YearsENERGYSTARCertified,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
351,464,2016,NonResidential,Retail Store,Costco #0001 Seattle,4401 4th Ave South,WA,98199.0,GREATER DUWAMISH,47.5653,-122.33076000000001,Retail Store,Retail Store,,,,2005.0,1.0,1.0,158415.0,0.0,158415.0,158415.0,,,24.0,144.44999695,366.30000305,22879526.0,0.0,16268514.0,6611356.0,464.53999999999996,2.705
352,465,2016,NonResidential,Large Office,1000 Denny Building,1000 Denny Way,WA,98109.0,LAKE UNION,47.61907,-122.33651,"Data Center, Office, Other, Restaurant",Office,Data Center,Other,,1929.0,1.0,8.0,287819.0,0.0,287819.0,155985.0,88350.0,15630.0,,177.25,554.9000061,48754360.0,0.0,48535137.0,220237.5,350.04999999999995,0.85
353,466,2016,NonResidential,Other,VM Seattle Hospital & Medical Center - Buck Pavilion,1100 9th Avenue,WA,98101.0,EAST,47.60953,-122.32793000000001,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,,,,1975.0,1.0,8.0,158738.0,0.0,158738.0,158738.0,,,,404.75000305000003,1069.749988,64251380.0,5904740.25,48538929.0,9794146.0,1314.32,7.595000000000001
354,467,2016,NonResidential,Retail Store,70100608-Ballard,915 NW 45th Street,WA,98107.0,BALLARD,47.66057,-122.36856999999999,"Parking, Retail Store, Supermarket/Grocery Store",Retail Store,Supermarket/Grocery Store,Parking,,1999.0,1.0,1.0,164437.0,0.0,164437.0,102653.0,74102.0,0.0,61.5,104.7,278.45,18506318.0,0.0,14250102.0,4256514.0,325.405,1.79
355,468,2016,NonResidential,Large Office,Interurban Exchange II - SEDO,535 Terry Ave. North,WA,98109.0,LAKE UNION,47.62402,-122.33755,"Office, Other, Parking",Office,Parking,Other,,2009.0,1.0,5.0,184482.0,66234.0,118248.0,118016.0,66234.0,1595.0,95.0,48.050000765,150.55,5746110.5,0.0,5729808.5,16421.5,40.815,0.155
356,469,2016,NonResidential,Laboratory,Rosen Building - SEDO,960 Republican St.,WA,98109.0,LAKE UNION,47.62348,-122.33743,"Data Center, Laboratory",Laboratory,Data Center,,,1928.0,1.0,3.0,55200.0,0.0,55200.0,54880.0,320.0,,,209.75,510.0,11580122.0,0.0,7652959.0,3927325.5,261.935,4.445
357,470,2016,NonResidential,Laboratory,401 Terry (ID470),401 TERRY AVE N,WA,98109.0,LAKE UNION,47.62254,-122.33753,Laboratory,Laboratory,,,,2003.0,1.0,4.0,241159.0,111793.0,129366.0,176171.0,,,,209.74999695,491.0999939,36948650.0,0.0,22834424.5,14114749.5,908.8199999999999,3.54
358,471,2016,NonResidential,Large Office,428 Westlake,428 Westlake Avenue N.,WA,98109.0,LAKE UNION,47.622859999999996,-122.33803999999999,"Financial Office, Food Service, Office, Other, Parking",Office,Parking,Financial Office,,2004.0,1.0,6.0,139282.0,52582.0,86700.0,79384.0,52582.0,3027.0,85.0,48.99999962,154.00000154999998,4252357.0,0.0,4252466.0,0.0,29.64,0.13
359,473,2016,NonResidential,Large Office,City Place II - SEDO,500 Boren Ave. N.,WA,98109.0,LAKE UNION,47.62383,-122.3356,"Medical Office, Office, Parking",Office,Parking,Medical Office,,2009.0,1.0,5.0,271071.0,98700.0,172371.0,168132.0,96918.0,16862.0,96.0,42.550000765,132.0,7878214.75,0.0,7725559.5,152816.0,61.97,0.17
360,474,2016,NonResidential,Warehouse,08185-Lake Union,700 Fairview Ave N,WA,98109.0,LAKE UNION,47.62572,-122.33389,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,1914.0,1.0,5.0,127800.0,0.0,127800.0,127800.0,,,53.5,22.80000038,66.900000765,2913820.0,0.0,2626425.5,287450.0,33.575,0.21500000000000002
361,475,2016,NonResidential,Large Office,Arnold Building,1100 Fairview Ave No.,WA,98109.0,LAKE UNION,47.62855,-122.33035,"Office, Parking",Office,Parking,,,2002.0,1.0,5.0,560516.0,206597.0,353919.0,372503.0,189133.0,,69.5,81.60000152500001,205.44999845,30396998.0,0.0,21347344.5,9050104.0,629.47,1.04
362,476,2016,NonResidential,Large Office,Yale,823 Yale Ave N.,WA,98109.0,LAKE UNION,47.62621,-122.33128,"Office, Parking",Office,Parking,,,2001.0,1.0,6.0,226592.0,95000.0,131592.0,131592.0,83178.0,,49.0,90.300000765,281.10000305000005,11880438.0,0.0,11729752.0,150929.0,89.785,0.285
363,477,2016,Campus,Other,Weintraub/Hutchinson/Thomas,1100 Fairview Ave N,WA,98109.0,LAKE UNION,47.62855,-122.33035,"Other, Parking",Other,Parking,,,1997.0,2.0,5.0,535947.0,97641.5,438305.5,535947.0,103983.0,,,249.65000304999998,522.99999695,133807652.0,0.0,66887608.0,66921472.0,4020.49,7.220000000000001
364,480,2016,NonResidential,Mixed Use Property,307 Westlake - SEDO,307 Westlake Ave. N.,WA,98109.0,LAKE UNION,47.62121,-122.33885,"Office, Other, Parking, Retail Store",Other,Parking,Office,,2003.0,1.0,5.0,159700.0,50654.0,109046.0,72407.0,49314.0,37406.0,,252.04999694999998,618.7499878,29245499.0,0.0,19656884.0,9589007.0,646.3050000000001,3.79
365,481,2016,NonResidential,Large Office,Westlake Terry - East SEDO,321 Terry Ave. N.,WA,98109.0,LAKE UNION,47.62137,-122.33743999999999,"Fitness Center/Health Club/Gym, Office, Parking, Restaurant",Office,Parking,Fitness Center/Health Club/Gym,201620152014201320092008,2006.0,1.0,4.0,209816.0,73673.0,136143.0,113803.0,79091.0,15803.0,96.0,52.7,140.19999845,7148783.25,0.0,5514876.0,1634025.5,125.23,0.5349999999999999
366,482,2016,NonResidential,Large Office,Westlake Terry - West SEDO,320 Westlake Ave. N.,WA,98109.0,LAKE UNION,47.62131,-122.33814,"Bank Branch, Office, Parking",Office,Parking,Bank Branch,201620152014201320112009,2006.0,1.0,6.0,303103.0,109905.0,193198.0,178628.0,99368.0,6015.0,95.5,43.90000038,133.89999845,8104822.75,0.0,7758084.0,346911.5,72.51,0.18
367,484,2016,NonResidential,Mixed Use Property,Fred Rogers Building,1020 John St.,WA,98109.0,LAKE UNION,47.620020000000004,-122.33686999999999,"Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Parking",Non-Refrigerated Warehouse,Office,Other - Entertainment/Public Assembly,,1954.0,1.0,3.0,67380.0,0.0,67380.0,32681.0,17387.5,15521.0,65.5,41.249999235000004,93.89999847499999,2705316.5,0.0,1589366.5,1115983.5,70.35,0.9950000000000001
368,487,2016,NonResidential,Laboratory,UW Medicine Research Phase I,850 Republican St.,WA,98109.0,LAKE UNION,47.62405,-122.34036,Laboratory,Laboratory,,,,1963.0,1.0,4.0,102235.0,0.0,102235.0,103135.0,,,,241.95,571.4,24842794.0,0.0,15592451.0,9250670.0,600.0,5.535
369,488,2016,NonResidential,Mixed Use Property,UW Medicine Research Phase II,850 Republican Street,WA,98109.0,LAKE UNION,47.62405,-122.34036,"Laboratory, Office, Parking",Laboratory,Parking,Office,,2008.0,1.0,5.0,436497.0,153684.0,282813.0,175364.0,173235.0,88901.0,,157.59999845,394.6,43365528.0,0.0,30218817.0,13147341.5,908.915,1.935
370,489,2016,NonResidential,Small- and Mid-Sized Office,200 West Thomas,200 West Thomas St,WA,98119.0,MAGNOLIA / QUEEN ANNE,47.62115,-122.3597,"Office, Parking",Office,Parking,,,1974.0,1.0,5.0,88062.0,20826.0,67236.0,65997.0,20151.0,,80.5,51.00000038,160.25000305,3366247.125,0.0,3366315.5,0.0,23.465,0.185
371,490,2016,NonResidential,Small- and Mid-Sized Office,North Tower,100 West Harrison,WA,98119.0,MAGNOLIA / QUEEN ANNE,47.622240000000005,-122.3585,"Office, Parking",Office,Parking,,,1972.0,1.0,5.0,87178.0,20416.0,66762.0,67584.5,14230.5,,70.0,54.2,170.20000305000002,3663114.875,0.0,3663192.0,0.0,25.535,0.19999999999999998
372,491,2016,NonResidential,Small- and Mid-Sized Office,South Tower,100 West Harrison,WA,98119.0,MAGNOLIA / QUEEN ANNE,47.622240000000005,-122.3585,"Office, Parking",Office,Parking,,,1970.0,1.0,5.0,87178.0,20416.0,66762.0,68343.5,26688.5,,86.0,51.84999962,162.85000155,3544000.875,0.0,3544074.5,0.0,24.705,0.195
373,492,2016,NonResidential,Small- and Mid-Sized Office,Queen Anne Plaza,201 Queen Anne Ave N,WA,98109.0,MAGNOLIA / QUEEN ANNE,47.62003,-122.35706,"Office, Parking",Office,Parking,,,1985.0,1.0,4.0,86995.0,28800.0,58195.0,58195.0,28800.0,,79.5,52.850000765,165.89999695,3075208.875,0.0,3075274.0,0.0,21.439999999999998,0.16999999999999998
374,493,2016,NonResidential,Small- and Mid-Sized Office,200 First Ave W,200 1ST AVE W,WA,98119.0,MAGNOLIA / QUEEN ANNE,47.62014,-122.35768,"Office, Parking",Office,Parking,,,1971.0,1.0,5.0,88000.0,21600.0,66400.0,70390.5,16810.5,,76.0,47.05,147.7,3308684.25,0.0,3308749.0,0.0,23.064999999999998,0.19
375,494,2016,NonResidential,Medical Office,4225 Roosevelt 2ros4225,4225 Roosevelt Way NE,WA,98105.0,NORTHEAST,47.65821,-122.31831000000001,"Medical Office, Parking",Medical Office,Parking,,,1988.0,1.0,4.0,196749.0,88405.0,108344.0,108344.0,88405.0,,5.5,177.24999695,409.45,19200943.0,0.0,11580167.5,7621011.5,485.48,2.3449999999999998
376,495,2016,NonResidential,Medical Office,4245 Roosevelt 2ros4245,4245 Roosevelt Way NE,WA,98105.0,NORTHEAST,47.658840000000005,-122.3183,Medical Office,Medical Office,,,,1994.0,1.0,4.0,191276.0,95281.0,95995.0,95995.0,,,18.5,92.449998475,281.04999695000004,8876031.5,0.0,8449673.5,426541.0,81.56,0.32999999999999996
377,496,2016,NonResidential,Self-Storage Facility,Market St Center,2811 NW Market Street,WA,98107.0,BALLARD,47.66838,-122.3931,"Fitness Center/Health Club/Gym, Office, Other - Education, Other - Recreation, Other - Restaurant/Bar, Outpatient Rehabilitation/Physical Therapy, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant, Retail Store, Self-Storage Facility, Vocat",,,,,1946.0,1.5,2.0,111445.0,0.0,111445.0,,,,,46.24999962,100.65,5508174.25,0.0,2967197.0,2541037.5,155.64,1.3399999999999999
378,497,2016,NonResidential,Warehouse,08176-West Seattle,2964 Sw Avalon Way,WA,98126.0,SOUTHWEST,47.56885,-122.37121,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,1997.0,1.0,4.0,98475.0,0.0,98475.0,98475.0,,,82.0,11.05000019,28.04999981,1086513.8125,0.0,775830.0,310700.0,21.91,0.20500000000000002
379,498,2016,NonResidential,Hospital,SCCA,825 Eastlake Ave E,WA,98109.0,LAKE UNION,47.626670000000004,-122.32965,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),,,,2000.0,1.0,7.0,330532.5,150455.0,180077.5,215602.0,,,20.0,206.95000305000002,482.10000305000005,44613824.0,0.0,27321562.0,17292840.0,1108.89,3.19
380,500,2016,NonResidential,Supermarket / Grocery Store,70100179-Lake City,13000 Lake City Way NE,WA,98125.0,NORTH,47.7237,-122.29231999999999,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,Parking,Parking,,1995.0,1.0,2.0,276747.0,93939.0,182808.0,95943.5,28325.5,0.0,67.5,117.15000075,301.0500061,14547973.0,0.0,10577407.0,3970783.0,284.63,0.9550000000000001
381,503,2016,NonResidential,Supermarket / Grocery Store,RESTAURANT DEPOT SEATTLE (ID503),3670 E MARGINAL WAY S,WA,98134.0,GREATER DUWAMISH,47.56895,-122.33775,Supermarket/Grocery Store,Supermarket/Grocery Store,,,,2008.0,1.0,1.0,63225.0,0.0,63225.0,63225.0,,,100.0,103.94999845000001,326.34999695,6571246.25,0.0,6571384.0,0.0,45.81,0.5
382,504,2016,Nonresidential COS,Other,Westbridge,4209 W Marginal Way SW,WA,98118.0,DELRIDGE,47.56548,-122.35378,"Office, Other - Services",Other - Services,Office,,,1955.0,0.5,1.0,113780.0,0.0,113780.0,91532.0,22248.0,,,31.44999981,60.05,3577316.625,0.0,1472106.0,2105241.5,122.07,1.045
383,507,2016,NonResidential,Warehouse,Skyline-East Marginal,4401 E Marginal Way S,WA,98134.0,GREATER DUWAMISH,47.56419,-122.34262,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,1999.0,1.0,1.0,243044.0,0.0,243044.0,302890.0,,,99.5,6.6500000955,12.4,1954200.625,0.0,781389.0,1172829.5,67.735,0.27
384,508,2016,NonResidential,Other,The Park View Building,601 N 34th St,WA,98103.0,LAKE UNION,47.64942,-122.35023999999999,"Office, Parking, Retail Store",Parking,Office,Retail Store,,2001.0,1.0,3.0,280252.0,156312.0,123940.0,156312.0,116440.0,7500.0,,95.7,300.44999695,11859287.0,0.0,11859540.0,0.0,82.675,0.205
385,513,2016,NonResidential,Other,Q13 FOX,1813 Westlake Ave N,WA,98109.0,MAGNOLIA / QUEEN ANNE,47.635490000000004,-122.34103,"Other, Parking",Other,Parking,,,1952.0,1.0,3.0,66462.0,12998.0,53464.0,72000.0,15000.0,,,134.25,421.54999695000004,7993203.25,0.0,7993392.5,0.0,55.724999999999994,0.5449999999999999
386,514,2016,NonResidential,Retail Store,W000252-NORTH SEATTLE WA,12525 AURORA AVENUE NORTH,WA,98133.0,NORTHWEST,47.72053,-122.34738999999999,Retail Store,Retail Store,,,,1997.0,1.0,1.0,131387.0,0.0,131387.0,107931.0,,,77.0,74.300001525,215.25,8017395.0,0.0,7088723.0,928805.5,98.745,0.645
387,515,2016,NonResidential,Warehouse,0643-Seattle - North 130th Street,1430 North 130th Street,WA,98133.0,NORTHWEST,47.72377,-122.34095,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,1999.0,1.0,3.0,94400.0,0.0,94400.0,67155.0,,,36.0,12.449999904999999,34.55,834339.25,0.0,690704.0,143650.0,12.445,0.11499999999999999
388,516,2016,NonResidential,Other,Aurora Shopping Center,13201 Aurora Avenue North,WA,98133.0,NORTHWEST,47.72546,-122.34658999999999,"Parking, Strip Mall",Strip Mall,Parking,,,1964.0,3.5,1.0,111900.0,0.0,111900.0,124231.0,0.0,,,86.05,215.9,10689804.0,0.0,7463076.5,3226904.0,223.405,1.83
389,517,2016,NonResidential,Supermarket / Grocery Store,Sam's Club #18-6687,13550 Aurora Ave. N.,WA,98133.0,NORTHWEST,47.72803,-122.34213999999999,Wholesale Club/Supercenter,Wholesale Club/Supercenter,,,,1984.0,0.5,1.0,144776.0,0.0,144776.0,144776.0,,,56.5,91.749998475,243.94999845,13285362.0,0.0,10222984.5,3062588.0,233.92,1.4649999999999999
390,518,2016,NonResidential,Retail Store,AURORA ACRES (ID518),13200 AURORA AVE N,WA,98133.0,NORTHWEST,47.7249,-122.34331999999999,"Retail Store, Supermarket/Grocery Store",Retail Store,Supermarket/Grocery Store,,,1967.0,1.0,1.0,114000.0,0.0,114000.0,57805.0,56312.0,,87.5,125.89999695,260.75,14368662.0,0.0,7018844.0,7349946.0,439.28499999999997,3.735
391,519,2016,NonResidential,Supermarket / Grocery Store,00410-Hwy 99 & 130th,13050 Aurora Avenue North,WA,98133.0,NORTHWEST,47.7235,-122.34458000000001,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,Parking,,,1997.0,1.0,1.0,50083.0,0.0,50083.0,50065.0,0.0,,78.0,172.5,454.3500061,8637372.5,0.0,6545008.5,2092500.0,156.76,2.8449999999999998
392,520,2016,NonResidential,Large Office,Burke Building,400 North 34th Street,WA,98103.0,LAKE UNION,47.650859999999994,-122.35412,Office,Office,,,,1988.0,1.0,3.0,124071.0,14322.5,109748.5,96504.0,,,75.0,50.40000038,158.19999695,4862995.75,0.0,4861879.5,1214.0,33.96,0.19
393,521,2016,NonResidential,Small- and Mid-Sized Office,The Evanston Building,501 N 34th Street,WA,98103.0,LAKE UNION,47.64963,-122.35158,Office,Office,,,,2000.0,1.0,4.0,90000.0,36528.0,53472.0,90000.0,,,83.0,44.14999962,138.6,3971859.0,0.0,3971942.5,0.0,27.69,0.21
394,522,2016,NonResidential,Small- and Mid-Sized Office,The Waterside Building,651 N 34th St,WA,98103.0,LAKE UNION,47.64849,-122.35041000000001,"Office, Parking",Office,Parking,,,2001.0,1.0,3.0,96041.0,33709.0,62332.0,62232.0,33709.0,,69.5,87.45,274.60000305000005,5442576.5,0.0,5442690.0,0.0,37.945,0.27
395,523,2016,NonResidential,Large Office,Adobe Seattle,801 N 34th,WA,98103.0,LAKE UNION,47.64822,-122.34848000000001,"Data Center, Office, Parking, Restaurant",Office,Parking,Data Center,2016201520142013201220112010,1999.0,1.0,3.0,280957.0,114829.0,166128.0,152579.0,93893.0,7500.0,95.0,71.39999847499999,219.90000155,11777561.5,0.0,11437590.5,338522.5,97.715,0.26
396,524,2016,NonResidential,Large Office,Plaza 701 N 34th,701 N. 34th Street,WA,98103.0,LAKE UNION,47.64882,-122.34905,"Office, Parking",Office,Parking,,201720162012,1999.0,1.0,4.0,243334.0,103032.0,140302.0,138995.0,24549.0,,82.5,68.25000038,206.14999695,9490268.5,0.0,8941495.5,548975.5,91.49000000000001,0.29
397,525,2016,NonResidential,Mixed Use Property,Seattle Art Museum,1300 1st Avenue,WA,98101.0,DOWNTOWN,47.6074,-122.33776999999999,"Data Center, Library, Non-Refrigerated Warehouse, Office, Other - Entertainment/Public Assembly, Other - Recreation, Other - Services, Restaurant, Social/Meeting Hall",Other - Entertainment/Public Assembly,Other - Recreation,Social/Meeting Hall,,1991.0,1.0,6.0,154660.0,0.0,154660.0,119815.0,63101.0,26380.0,,215.20000155,524.1,54454322.0,18913500.0,34705129.5,836408.0,1746.255,10.815000000000001
398,526,2016,NonResidential,Large Office,Seattle Design Center (Plaza Center),5601 6th Ave. S,WA,98108.0,GREATER DUWAMISH,47.55146,-122.32831999999999,"Office, Parking",Office,Parking,,,1982.0,1.0,5.0,390295.0,121375.0,268920.0,243018.0,108408.0,,95.0,31.950000189999997,100.300001525,7761242.5,0.0,7761404.5,0.0,54.11,0.095
399,527,2016,NonResidential,Warehouse,Northwest Corporate Park,5900 4th Ave S,WA,98108.0,GREATER DUWAMISH,47.54983,-122.32858,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,,,1967.0,1.0,2.0,90000.0,0.0,90000.0,70000.0,20000.0,,88.0,14.999999809999998,43.700000380000006,1350980.1875,0.0,1203774.5,147229.0,16.21,0.155
400,528,2016,NonResidential,Retail Store,Oregon Tile & Marble,5930 6th Ave. South,WA,98108.0,GREATER DUWAMISH,47.55032,-122.32614,Retail Store,Retail Store,,,,1966.0,1.0,1.0,50200.0,0.0,50200.0,50200.0,,,,20.29999981,43.05,1018718.0,0.0,522307.5,496422.0,30.009999999999998,0.575
401,529,2016,NonResidential,Small- and Mid-Sized Office,Ballard Building,2208 NW Market Street,WA,98107.0,BALLARD,47.66891,-122.38528000000001,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store",Office,Retail Store,Parking,,1925.0,1.0,6.0,94033.0,6200.0,87833.0,53993.0,24744.0,4500.0,,56.649999235,131.44999695,4762712.5,0.0,2891264.5,1871508.5,119.55,1.205
402,530,2016,NonResidential,Warehouse,Magnum Building,5422 Shilshole Avenue NW,WA,98107.0,BALLARD,47.66724,-122.38553,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,1941.0,1.0,2.0,63240.0,0.0,63240.0,63240.0,,,100.0,3.2499999524999996,6.349999952499999,205543.85155000002,0.0,88293.0,117253.0,6.845000000000001,0.10500000000000001
403,532,2016,NonResidential,Other,Ballard Blocks I,1416 NW 46th ST,WA,98107.0,BALLARD,47.66233,-122.3748,"Parking, Retail Store",Parking,Retail Store,,,2008.0,1.0,5.0,322869.0,182454.0,140415.0,182454.0,130744.0,,,130.04999845,307.39999694999995,17001654.0,0.0,10689424.5,6312451.0,409.775,1.2000000000000002
404,533,2016,NonResidential,Self-Storage Facility,08168-Queen Anne/Magnolia,3000 15th Ave West,WA,98119.0,MAGNOLIA / QUEEN ANNE,47.64676,-122.37581000000002,"Parking, Self-Storage Facility",Self-Storage Facility,Parking,,,1988.0,1.0,4.0,130293.0,23400.0,106893.0,130293.0,8800.0,,,3.7499999524999996,11.699999904999999,485546.15625,0.0,485556.5,0.0,3.385,0.015
405,534,2016,NonResidential,Warehouse,Nickerson Street Self  Storage,1300 W. Nickerson Street,WA,98119.0,MAGNOLIA / QUEEN ANNE,47.65567,-122.37478,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,1997.0,1.0,4.0,106041.0,0.0,106041.0,106041.0,,,93.5,10.55000019,26.000000380000003,1121167.5,0.0,755021.0,366162.5,24.71,0.215
406,536,2016,NonResidential,Self-Storage Facility,Magnolia Bridge Self Storage,1900 15th Ave W.,WA,98119.0,MAGNOLIA / QUEEN ANNE,47.636340000000004,-122.3754,Self-Storage Facility,Self-Storage Facility,,,,1956.0,1.0,3.0,94470.0,0.0,94470.0,94470.0,,,,10.20000019,20.05000038,961418.9375,0.0,422858.0,538569.5,31.55,0.32499999999999996
407,538,2016,NonResidential,Large Office,Fifth and Jackson,315 Fifth Avenue,WA,98104.0,DOWNTOWN,47.59963,-122.32796,"Office, Other, Parking",Office,Parking,Other,,2002.0,1.0,10.0,181694.0,38186.0,143508.0,152102.0,25683.5,2155.0,87.0,50.900000765,159.85000155,7854203.0,0.0,7854370.5,0.0,54.754999999999995,0.205
409,540,2016,NonResidential,Warehouse,NWCP-SEA Bldg K,6136 6th Ave S,WA,98108.0,GREATER DUWAMISH,47.54769,-122.3251,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,1966.0,1.0,1.0,22780.0,0.0,22780.0,22780.0,,,31.5,18.20000019,57.200000765,414874.15625,0.0,414883.0,0.0,2.8899999999999997,0.08499999999999999
410,543,2016,NonResidential,Distribution Center,Seattle Distribution Center Bldg A,6701-6795 E. Marginal Way S.,WA,98168.0,GREATER DUWAMISH,47.54187,-122.32713999999999,"Distribution Center, Parking",Distribution Center,Parking,,,1967.0,1.0,1.0,124472.0,0.0,124472.0,124423.0,0.0,,77.0,31.800000765,49.150000765,3960889.5,0.0,935785.5,3025118.5,167.185,1.33
411,544,2016,NonResidential,Distribution Center,Seattle Distribution Center Bldg B,6701-6797 E Marginal Way S.,WA,98168.0,GREATER DUWAMISH,47.54187,-122.32713999999999,"Distribution Center, Parking",Distribution Center,Parking,,,1967.0,1.0,1.0,50065.0,0.0,50065.0,49918.0,0.0,,71.5,30.00000019,66.449998475,1497522.625,0.0,835187.5,662352.5,41.0,0.78
412,545,2016,NonResidential,Distribution Center,GLACIER NORTHWEST (6335 1st Ave S),6335 1st Ave S,WA,98108.0,GREATER DUWAMISH,47.546209999999995,-122.33486,Distribution Center,Distribution Center,,,,1969.0,1.0,1.0,57540.0,0.0,57540.0,57540.0,,,27.5,38.800000765,91.949998475,2230833.0,0.0,1410789.5,820074.5,53.39,0.87
413,546,2016,NonResidential,Warehouse,NWCP-SEA Bldg A,410 S Front Street,WA,98108.0,GREATER DUWAMISH,47.54853,-122.32813999999999,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,1966.0,1.0,1.0,85400.0,0.0,85400.0,85400.0,,,48.0,18.35,57.55,1565092.625,0.0,1565125.5,0.0,10.915,0.09
414,547,2016,NonResidential,Warehouse,NWCP-SEA Bldg B,6001 6th Ave S,WA,98108.0,GREATER DUWAMISH,47.54912,-122.32818999999999,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,1966.0,1.0,1.0,55700.0,0.0,55700.0,55700.0,,,62.5,9.4500000955,29.69999962,526442.0469,0.0,526453.0,0.0,3.67,0.045
415,548,2016,NonResidential,Small- and Mid-Sized Office,Resource Center,5933 6th Ave S,WA,98108.0,GREATER DUWAMISH,47.54965,-122.3278,"Office, Parking",Office,Parking,,,1964.0,1.0,1.0,53250.0,0.0,53250.0,52759.0,0.0,,94.0,37.8,82.749998475,1995452.625,0.0,1086756.5,908719.0,55.84,1.005
416,549,2016,NonResidential,Small- and Mid-Sized Office,400 Mercer Street,400 Mercer Street,WA,98109.0,MAGNOLIA / QUEEN ANNE,47.624759999999995,-122.34843000000001,Office,Office,,,,1987.0,1.0,6.0,78672.0,28427.0,50245.0,78672.0,,,96.5,31.10000038,86.900001525,2446720.875,0.0,2041714.5,405051.5,35.745,0.39
417,550,2016,NonResidential,Warehouse,21517-Seattle / Aurora AVE N,11512 Aurora Avenue N,WA,98133.0,NORTHWEST,47.71286,-122.34421999999999,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,1986.0,1.0,3.0,64660.0,0.0,64660.0,64660.0,,,88.5,5.15,13.3,332891.5,0.0,243397.0,89500.0,6.45,0.095
418,551,2016,NonResidential,Mixed Use Property,Richmark Label,1110 East Pine Street,WA,98122.0,EAST,47.615520000000004,-122.31743999999999,"Office, Other, Parking",Other,Office,Parking,,1927.0,1.0,2.0,75844.0,19928.0,55916.0,28442.0,28441.0,18961.0,,64.350001525,192.79999845,3659894.25,0.0,3408861.5,251103.0,37.099999999999994,0.395
419,552,2016,NonResidential,Distribution Center,South Seattle Distribution Center- 3800,3800 1st Avenue South,WA,98134.0,GREATER DUWAMISH,47.5701,-122.33341999999999,Distribution Center,Distribution Center,,,,1968.0,1.0,1.0,161678.0,0.0,161678.0,168326.0,,,26.0,55.349999235,137.45,9301166.0,0.0,6381490.5,2919807.5,199.555,1.15
420,553,2016,NonResidential,Distribution Center,South Seattle Distribution Center- 3844,3844 1ST AVE S,WA,98134.0,GREATER DUWAMISH,47.568740000000005,-122.33303000000001,Distribution Center,Distribution Center,,,,1949.0,1.0,1.0,101101.0,0.0,101101.0,101101.0,,,1.0,224.60000305,704.5499878,22704327.0,0.0,22676624.5,28190.5,159.57999999999998,1.075
421,554,2016,NonResidential,Distribution Center,South Seattle Distribution Center- 3601,3601 2ND AVE S,WA,98134.0,GREATER DUWAMISH,47.57023,-122.33241000000001,Distribution Center,Distribution Center,,,,1980.0,1.0,1.0,52613.0,0.0,52613.0,56058.5,,,78.5,18.34999962,38.74999962,1027098.125,0.0,520860.5,506248.0,30.520000000000003,0.56
422,555,2016,NonResidential,Other,Cascade Designs Inc. ( Yosemite ),4000 1st Ave. South,WA,98134.0,GREATER DUWAMISH,47.56785,-122.33361000000001,"Office, Other",Other,Office,,,1940.0,1.0,1.0,56608.0,0.0,56608.0,45340.0,11520.0,,,90.849999235,254.84999695000002,5164325.5,0.0,4338518.5,825898.0,74.105,1.1400000000000001
423,556,2016,NonResidential,Refrigerated Warehouse,Charlies Produce,4103 2nd Ave South,WA,98134.0,GREATER DUWAMISH,47.56637,-122.33273,"Office, Parking, Refrigerated Warehouse",Refrigerated Warehouse,Office,Parking,,1953.0,1.0,1.0,104099.0,0.0,104099.0,100000.0,4099.0,0.0,,170.1,525.1,17704876.0,0.0,17260475.0,444756.5,143.95,1.03
